,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_Med_p21_ring,0.747208928368626,0.8664764952105293,0.9995499968775675,0.8551842072347887
Int_Med_DNA_cyto,0.7478088086163188,0.8614974485372401,0.9996154942053459,0.8703563315846604
Int_Med_DNA_ring,0.7478088086163188,0.8614974485372401,0.9996154942053459,0.8703563315846604
Int_Med_YAP_cell,0.7496576141047268,0.8856855082267338,0.9995560394612255,0.8710465038898567
Int_Med_cJun_nuc,0.7542701017001229,0.8538265765353106,0.999156210477418,0.9134999597236172
Int_Med_p27_ring,0.7602771570676387,0.8669075418648321,0.9994474776706986,0.851811108919378
Int_Med_p27_cyto,0.7602771570676387,0.8669075418648321,0.9994474776706986,0.851811108919378
Int_Med_p14ARF_nuc,0.7673255359095815,0.8820533405505419,0.9994924823425279,0.9476679381156484
Int_Med_S6_cell,0.7679917384171875,0.9150683728018468,0.9994146291274367,0.8708095066068537
Int_MeanEdge_cMyc_cell,0.7684847239634665,0.9035217234001643,0.9998287688226923,0.8529622823149051
Int_MeanEdge_pERK_cell,0.7763252287414575,0.8952392087512404,0.9998476768634061,0.863341474192127
Int_Med_cJun_ring,0.7765029754425788,0.8898116147337138,0.9997196741749614,0.8822349465873396
Int_Med_cJun_cyto,0.7765029754425788,0.8898116147337138,0.9997196741749614,0.8822349465873396
Int_Med_YAP_ring,0.7774786739777401,0.9024713074529404,0.9996611953586527,0.9183109930159018
Int_Med_YAP_cyto,0.7774786739777401,0.9024713074529404,0.9996611953586527,0.9183109930159018
Int_Med_PCNA_cyto,0.7780331654400701,0.8907212198573696,0.9998712774566499,0.8854919705729442
Int_Med_PCNA_ring,0.7780331654400701,0.8907212198573696,0.9998712774566499,0.8854919705729442
Int_Med_Cdt1_cell,0.7798509199795748,0.8931862421735229,0.9995884019715554,0.8645609222068145
Int_Med_pp27_nuc,0.7854777292631792,0.9408526238448147,0.9997911115827749,0.9724415148943419
Int_Med_pERK_nuc,0.7878876996957636,0.9012166304871091,0.9997984141237637,0.9407308387224423
Int_Med_Skp2_cyto,0.7894993939638169,0.8799632064346936,0.99924395900467,0.8857209154251061
Int_Med_Skp2_ring,0.7894993939638169,0.8799632064346936,0.99924395900467,0.8857209154251061
Int_MeanEdge_AKT_cell,0.7904687082526236,0.9008106584483058,0.999861680814218,0.8873720122096886
Int_Med_Cdt1_ring,0.7906861193159342,0.8959748435659424,0.9996128386347658,0.9116837676988074
